image_path,prompt,negative_prompt,tone
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\43759.png,"sarcastic meme about let me make this clear: if you are on my friends list, you are my friend. i do not copy and paste your post to prove i pay attention to y..., vintage look, shallow depth of field, high-contrast photo","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",humor
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\73256.png,"meme about im mixed with what? gorilla and rhino, stock photo style, photorealistic, dramatic scene","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",neutral
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\70519.png,"ironic meme about when white folks announce the 2nd case of cured hiv patient but you were murdered for already doing it, photorealistic, shallow depth of field, cinematic lighting","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",irony
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\75260.png,"ironic meme about pot holes what a great way to wake you up, natural skin tones, dramatic scene, reaction shot","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",irony
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\48279.png,"meme about nice watch must have cost an arm and a leg, photorealistic, natural skin tones, high-contrast photo","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",neutral
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\90463.png,"ironic meme about that look when your father sells you for a goat, dramatic scene, vintage look, cinematic lighting","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",irony
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\58016.png,"sarcastic meme about mr free shit and bullshit mrs, reaction shot, natural skin tones, high-contrast photo","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",humor
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\54971.png,"sarcastic meme about rebuilt tranny, cinematic lighting, vivid details, stock photo style","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",humor
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\76815.png,"meme about this chick can't stand fishing, dramatic scene, stock photo style, natural skin tones","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",neutral
C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\85941.png,"sarcastic meme about we had a minor gas leak, photorealistic, reaction shot, cinematic lighting","nsfw, hate speech, slur, offensive text, watermark, logo, low quality, blurry, jpeg artifacts, extra fingers, deformed, text overlay, caption text",humor
